# Time-averaged data for fix ave_time
# TimeStep v_kinetic_energy v_potential_energy
5050 1.47334 14.5235
5060 1.48856 14.5233
5070 1.47249 14.5233
5080 1.49406 14.5233
5090 1.51618 14.5233
5100 1.5215 14.5233
5110 1.51589 14.5232
5120 1.50878 14.5231
5130 1.47788 14.5231
5140 1.48452 14.5232
5150 1.52509 14.5233
5160 1.53569 14.5233
5170 1.51887 14.5232
5180 1.4952 14.5232
5190 1.52546 14.5232
5200 1.54267 14.5232
5210 1.49593 14.5231
5220 1.50121 14.5229
5230 1.49038 14.5231
5240 1.50623 14.5233
5250 1.47133 14.5235
5260 1.49546 14.5235
5270 1.4824 14.5234
5280 1.48641 14.5235
5290 1.48914 14.5235
5300 1.50867 14.5234
5310 1.48687 14.5233
5320 1.49319 14.5233
5330 1.46854 14.5234
5340 1.48888 14.5235
5350 1.4771 14.5239
5360 1.48369 14.524
5370 1.51336 14.524
5380 1.4862 14.5239
5390 1.49652 14.5237
5400 1.50795 14.5237
5410 1.49531 14.5237
5420 1.50412 14.5238
5430 1.51805 14.5239
5440 1.51849 14.524
5450 1.51996 14.524
5460 1.50059 14.5239
5470 1.49919 14.5238
5480 1.4947 14.5238
5490 1.4591 14.5237
5500 1.47889 14.5237
5510 1.53037 14.5237
5520 1.51332 14.5235
5530 1.50791 14.5234
5540 1.49563 14.5232
5550 1.50254 14.5232
5560 1.50723 14.523
5570 1.52873 14.5229
5580 1.53954 14.5227
5590 1.48582 14.5226
5600 1.53114 14.5225
5610 1.49874 14.5225
5620 1.49785 14.5225
5630 1.46245 14.5226
5640 1.4669 14.5226
5650 1.49438 14.5224
5660 1.52825 14.5222
5670 1.50723 14.5222
5680 1.4934 14.5222
5690 1.5044 14.5222
5700 1.50758 14.5222
5710 1.47779 14.5224
5720 1.44618 14.5224
5730 1.46764 14.5223
5740 1.48923 14.5224
5750 1.4902 14.5226
5760 1.47058 14.5228
5770 1.49765 14.5231
5780 1.48239 14.5233
5790 1.50178 14.5234
5800 1.51481 14.5235
5810 1.50664 14.5234
5820 1.49899 14.5233
5830 1.50494 14.5233
5840 1.49334 14.5232
5850 1.48845 14.5232
5860 1.50104 14.5232
5870 1.52324 14.5232
5880 1.50836 14.5232
5890 1.50339 14.5231
5900 1.5144 14.5229
5910 1.50074 14.5228
5920 1.5202 14.5226
5930 1.51484 14.5226
5940 1.5328 14.5225
5950 1.52648 14.5225
5960 1.49182 14.5227
5970 1.49339 14.5226
5980 1.49804 14.5226
5990 1.48627 14.5227
6000 1.48505 14.5227
6010 1.47369 14.5229
6020 1.49262 14.523
6030 1.47158 14.5232
6040 1.47949 14.5235
6050 1.49565 14.5238
6060 1.49175 14.5239
6070 1.48349 14.524
6080 1.49731 14.524
6090 1.47535 14.524
6100 1.46791 14.5239
6110 1.48463 14.5239
6120 1.5024 14.524
6130 1.47839 14.5241
6140 1.48385 14.5243
6150 1.47526 14.5244
6160 1.49174 14.5245
6170 1.49588 14.5246
6180 1.5179 14.5246
6190 1.47924 14.5246
6200 1.4647 14.5246
6210 1.48435 14.5247
6220 1.47948 14.5248
6230 1.49272 14.5248
6240 1.49517 14.525
6250 1.50566 14.5253
6260 1.50716 14.5255
6270 1.50467 14.5257
6280 1.5169 14.5259
6290 1.54257 14.5259
6300 1.52253 14.526
6310 1.48718 14.5262
6320 1.48343 14.5266
6330 1.51034 14.5269
6340 1.49274 14.527
6350 1.50225 14.527
6360 1.49662 14.527
6370 1.49527 14.5271
6380 1.49623 14.5273
6390 1.48726 14.5275
6400 1.48017 14.5277
6410 1.5039 14.528
6420 1.52685 14.5282
6430 1.51519 14.5283
6440 1.49728 14.5285
6450 1.4731 14.5286
6460 1.5122 14.5287
6470 1.51449 14.5289
6480 1.53814 14.529
6490 1.52461 14.529
6500 1.50304 14.529
6510 1.4965 14.529
6520 1.5266 14.5288
6530 1.52989 14.5285
6540 1.51046 14.5285
6550 1.511 14.5284
6560 1.49338 14.5283
6570 1.47929 14.5281
6580 1.48541 14.528
6590 1.4912 14.528
6600 1.51211 14.528
6610 1.47715 14.5278
6620 1.48474 14.5276
6630 1.51543 14.5274
6640 1.48075 14.5273
6650 1.49228 14.5273
6660 1.5024 14.5273
6670 1.5217 14.5272
6680 1.51287 14.5272
6690 1.5035 14.527
6700 1.49785 14.5268
6710 1.4965 14.5269
6720 1.51064 14.5268
6730 1.48106 14.5268
6740 1.51082 14.5268
6750 1.55133 14.5268
6760 1.53739 14.5269
6770 1.49741 14.527
6780 1.4762 14.5271
6790 1.48498 14.5272
6800 1.50612 14.5272
6810 1.51975 14.5272
6820 1.49742 14.5271
6830 1.50559 14.5271
6840 1.49831 14.5269
6850 1.52551 14.5268
6860 1.52285 14.5267
