# Time-averaged data for fix ave_time
# TimeStep v_kinetic_energy v_potential_energy
50 0.0945733 14.1762
60 0.227506 14.1763
70 0.347976 14.1764
80 0.45798 14.1767
90 0.554806 14.1771
100 0.648016 14.1778
110 0.733942 14.1786
120 0.800996 14.1796
130 0.862202 14.1809
140 0.921318 14.1824
150 0.973396 14.1842
160 1.02472 14.1863
170 1.06186 14.1886
180 1.109 14.1911
190 1.14108 14.1939
200 1.1655 14.1971
210 1.19727 14.2004
220 1.22782 14.204
230 1.24053 14.2077
240 1.25966 14.2117
250 1.28008 14.2158
260 1.30069 14.2201
270 1.32303 14.2245
280 1.34519 14.2291
290 1.3535 14.2338
300 1.36719 14.2387
310 1.37764 14.2436
320 1.38463 14.2485
330 1.39066 14.2535
340 1.39191 14.2586
350 1.3931 14.2636
360 1.40017 14.2688
370 1.41291 14.2739
380 1.41295 14.2791
390 1.41935 14.2842
400 1.42213 14.2892
410 1.42516 14.2942
420 1.42395 14.2991
430 1.43715 14.3039
440 1.44558 14.3086
450 1.45932 14.3133
460 1.45308 14.318
470 1.46614 14.3225
480 1.46743 14.3269
490 1.45299 14.3312
500 1.46535 14.3354
510 1.46944 14.3395
520 1.47196 14.3434
530 1.47468 14.3473
540 1.48255 14.351
550 1.48518 14.3548
560 1.48222 14.3583
570 1.47774 14.3617
580 1.47332 14.3651
590 1.47787 14.3683
600 1.48393 14.3714
610 1.47806 14.3745
620 1.48059 14.3775
630 1.47273 14.3805
640 1.46721 14.3833
650 1.46877 14.3861
660 1.46297 14.389
670 1.47255 14.3917
680 1.47012 14.3945
690 1.47219 14.3971
700 1.46037 14.3997
710 1.47345 14.4023
720 1.47273 14.4047
730 1.48096 14.4071
740 1.4774 14.4096
750 1.50305 14.4119
760 1.51696 14.4143
770 1.50263 14.4166
780 1.48838 14.4188
790 1.48946 14.421
800 1.48067 14.4232
810 1.48395 14.4254
820 1.48326 14.4275
830 1.46655 14.4294
840 1.47411 14.4313
850 1.47694 14.4331
860 1.48118 14.4348
870 1.4799 14.4364
880 1.48481 14.4379
890 1.49746 14.4395
900 1.50368 14.441
910 1.50442 14.4425
920 1.50494 14.4438
930 1.49412 14.4452
940 1.49349 14.4466
950 1.4922 14.4481
960 1.48312 14.4495
970 1.47897 14.451
980 1.47739 14.4523
990 1.47438 14.4537
1000 1.47456 14.4551
1010 1.48661 14.4566
1020 1.47481 14.4579
1030 1.48946 14.4592
1040 1.49626 14.4604
1050 1.49004 14.4617
1060 1.49502 14.463
1070 1.48958 14.4641
1080 1.49244 14.4653
1090 1.4778 14.4665
1100 1.47544 14.4676
1110 1.48337 14.4687
1120 1.47501 14.4697
1130 1.4743 14.4705
1140 1.47887 14.4714
1150 1.48659 14.4721
1160 1.48648 14.4729
1170 1.48183 14.4737
1180 1.48044 14.4744
1190 1.48904 14.4752
1200 1.49788 14.476
1210 1.49714 14.4767
1220 1.50009 14.4775
1230 1.50307 14.4784
1240 1.49715 14.4793
1250 1.49288 14.4803
1260 1.4858 14.4812
1270 1.48497 14.4822
1280 1.4793 14.4832
1290 1.48812 14.4841
1300 1.49726 14.4852
1310 1.48958 14.4862
1320 1.49187 14.4872
1330 1.50252 14.4881
1340 1.5017 14.489
1350 1.50408 14.4901
1360 1.49259 14.4911
1370 1.47471 14.492
1380 1.47977 14.4929
1390 1.48196 14.4939
1400 1.48292 14.4949
1410 1.47851 14.4959
1420 1.48082 14.4968
1430 1.48863 14.4976
1440 1.47786 14.4983
1450 1.47754 14.499
1460 1.48549 14.4996
1470 1.4919 14.5003
1480 1.49123 14.5009
1490 1.48797 14.5016
1500 1.49208 14.5022
1510 1.48502 14.5029
1520 1.48863 14.5035
1530 1.48762 14.5041
1540 1.49363 14.5047
1550 1.50122 14.5053
1560 1.49555 14.5058
1570 1.47747 14.5063
1580 1.48487 14.5067
1590 1.48579 14.5072
1600 1.49077 14.5077
1610 1.49688 14.5082
1620 1.49714 14.5087
1630 1.49068 14.5093
1640 1.48179 14.5099
1650 1.49993 14.5105
1660 1.50125 14.5112
1670 1.50478 14.5118
1680 1.51892 14.5125
1690 1.51991 14.513
1700 1.52449 14.5136
1710 1.52874 14.5141
1720 1.51563 14.5147
1730 1.51267 14.5152
1740 1.50856 14.5157
1750 1.50389 14.5161
1760 1.49467 14.5165
1770 1.50065 14.5169
1780 1.50245 14.5172
1790 1.50059 14.5176
1800 1.49603 14.518
1810 1.49929 14.5184
1820 1.50506 14.5188
1830 1.50591 14.5193
1840 1.50976 14.5198
1850 1.50153 14.5204
1860 1.49265 14.521
1870 1.49857 14.5216
1880 1.48913 14.5222
1890 1.48893 14.5227
1900 1.48573 14.5231
1910 1.48474 14.5235
1920 1.46961 14.5238
1930 1.47919 14.524
1940 1.47858 14.5243
1950 1.49229 14.5246
1960 1.49521 14.5248
1970 1.49188 14.525
1980 1.50024 14.5252
1990 1.49509 14.5253
2000 1.4993 14.5255
2010 1.50283 14.5257
2020 1.49699 14.5257
2030 1.51083 14.5259
2040 1.51348 14.526
2050 1.51435 14.5263
2060 1.51747 14.5264
2070 1.50983 14.5266
2080 1.51512 14.5268
2090 1.5208 14.527
2100 1.52004 14.5273
2110 1.52843 14.5275
2120 1.51623 14.5278
2130 1.51207 14.5279
2140 1.51351 14.528
2150 1.50225 14.5282
2160 1.50473 14.5282
2170 1.5079 14.5282
2180 1.50606 14.5283
2190 1.50781 14.5283
2200 1.51191 14.5284
2210 1.5068 14.5284
2220 1.50749 14.5283
2230 1.50286 14.5283
2240 1.50178 14.5282
2250 1.4951 14.5283
2260 1.4998 14.5282
2270 1.50956 14.5281
2280 1.51353 14.5279
2290 1.50447 14.5278
2300 1.51158 14.5276
2310 1.51192 14.5275
2320 1.50973 14.5273
2330 1.51249 14.5272
2340 1.51345 14.527
2350 1.50473 14.5267
2360 1.51271 14.5265
2370 1.50215 14.5262
2380 1.50988 14.526
2390 1.51055 14.5258
2400 1.51458 14.5256
2410 1.51596 14.5255
2420 1.51473 14.5253
2430 1.50769 14.5251
2440 1.50467 14.5248
2450 1.51566 14.5246
2460 1.51296 14.5243
2470 1.50764 14.524
2480 1.50509 14.5238
2490 1.51168 14.5236
2500 1.51334 14.5234
2510 1.5166 14.5233
2520 1.52362 14.5231
2530 1.52707 14.523
2540 1.52957 14.5229
2550 1.52425 14.5227
2560 1.5205 14.5225
2570 1.52493 14.5223
2580 1.52713 14.5223
2590 1.51089 14.5222
2600 1.50721 14.5221
2610 1.49862 14.5221
2620 1.49811 14.5221
2630 1.50872 14.5222
2640 1.5131 14.5223
2650 1.52066 14.5224
2660 1.51754 14.5226
2670 1.50363 14.5226
2680 1.51292 14.5226
2690 1.50317 14.5227
2700 1.50369 14.5228
2710 1.49667 14.5231
2720 1.49163 14.5234
2730 1.4968 14.5236
2740 1.49721 14.5238
2750 1.49129 14.5241
2760 1.4879 14.5243
2770 1.49089 14.5245
2780 1.48309 14.5247
2790 1.4888 14.5249
2800 1.50304 14.5251
2810 1.49814 14.5253
2820 1.5042 14.5254
2830 1.51092 14.5255
2840 1.50328 14.5256
2850 1.50644 14.5256
2860 1.50186 14.5257
2870 1.49979 14.5256
2880 1.50322 14.5255
2890 1.49962 14.5253
2900 1.49325 14.525
2910 1.48943 14.5248
2920 1.49156 14.5247
2930 1.49716 14.5244
2940 1.49972 14.5242
2950 1.50286 14.5241
2960 1.49705 14.524
2970 1.5006 14.5238
2980 1.49111 14.5236
2990 1.49834 14.5234
3000 1.49821 14.5232
3010 1.49578 14.523
3020 1.49829 14.5229
3030 1.5002 14.5228
3040 1.50689 14.5227
3050 1.49986 14.5224
3060 1.49512 14.5222
3070 1.49916 14.5219
3080 1.50042 14.5217
3090 1.50662 14.5215
3100 1.49776 14.5214
3110 1.48888 14.5213
3120 1.49409 14.5212
