# Time-averaged data for fix ave_time
# TimeStep v_kinetic_energy v_potential_energy
5050 1.49083 14.5234
5060 1.49535 14.5231
5070 1.49332 14.5229
5080 1.4968 14.5227
5090 1.5019 14.5226
5100 1.5093 14.5224
5110 1.50269 14.5222
5120 1.50306 14.522
5130 1.4965 14.5218
5140 1.49484 14.5216
5150 1.48891 14.5215
5160 1.48223 14.5213
5170 1.49517 14.5213
5180 1.49966 14.5213
5190 1.50407 14.5214
5200 1.50529 14.5215
5210 1.50861 14.5217
5220 1.5045 14.5218
5230 1.49452 14.5219
5240 1.48856 14.522
5250 1.47946 14.5221
5260 1.47719 14.5223
5270 1.47425 14.5225
5280 1.48075 14.5227
5290 1.48584 14.523
5300 1.47997 14.5232
5310 1.47885 14.5233
5320 1.48321 14.5235
5330 1.46762 14.5236
5340 1.46237 14.5238
5350 1.46468 14.524
5360 1.46419 14.5242
5370 1.47584 14.5244
5380 1.46579 14.5246
5390 1.47185 14.5247
5400 1.47965 14.5249
5410 1.4794 14.5251
5420 1.48701 14.5253
5430 1.49146 14.5255
5440 1.49018 14.5258
5450 1.48877 14.526
5460 1.47867 14.5263
5470 1.47551 14.5265
5480 1.48586 14.5267
5490 1.49042 14.5268
5500 1.49706 14.527
5510 1.49872 14.5272
5520 1.4989 14.5274
5530 1.50573 14.5276
5540 1.50855 14.5277
5550 1.51028 14.5279
5560 1.50336 14.5281
5570 1.51057 14.5282
5580 1.51326 14.5284
5590 1.50376 14.5287
5600 1.50914 14.5289
5610 1.50231 14.5292
5620 1.49758 14.5296
5630 1.5007 14.5299
5640 1.50537 14.5301
5650 1.50991 14.5303
5660 1.50168 14.5306
5670 1.51007 14.5308
5680 1.50644 14.531
5690 1.49638 14.5312
5700 1.49785 14.5313
5710 1.48913 14.5314
5720 1.49231 14.5315
5730 1.49107 14.5315
5740 1.48378 14.5316
5750 1.4987 14.5316
5760 1.50172 14.5316
5770 1.51525 14.5316
5780 1.50965 14.5317
5790 1.50818 14.5318
5800 1.5162 14.5318
5810 1.51297 14.5318
5820 1.51151 14.5317
5830 1.51706 14.5317
5840 1.5089 14.5316
5850 1.51008 14.5315
5860 1.51182 14.5315
5870 1.52297 14.5315
5880 1.5291 14.5314
5890 1.50954 14.5314
5900 1.51354 14.5313
5910 1.5119 14.5312
5920 1.50176 14.5311
5930 1.49762 14.531
5940 1.49649 14.5309
5950 1.48778 14.5308
5960 1.48315 14.5307
5970 1.47233 14.5306
5980 1.46032 14.5304
5990 1.47038 14.5302
6000 1.47124 14.53
6010 1.47423 14.5298
6020 1.49019 14.5297
6030 1.4759 14.5296
6040 1.47338 14.5294
6050 1.48852 14.5292
6060 1.49724 14.529
6070 1.49216 14.5287
6080 1.49003 14.5285
6090 1.48557 14.5283
6100 1.48504 14.5282
6110 1.47411 14.5281
6120 1.48556 14.528
6130 1.48628 14.5279
6140 1.49206 14.5279
6150 1.49223 14.5277
6160 1.48932 14.5276
6170 1.49537 14.5276
6180 1.49359 14.5275
6190 1.48287 14.5274
6200 1.48843 14.5273
6210 1.48976 14.5273
6220 1.50778 14.5273
6230 1.50402 14.5273
6240 1.50102 14.5275
6250 1.50456 14.5276
6260 1.49358 14.5276
6270 1.49082 14.5277
6280 1.48422 14.5277
6290 1.4902 14.5279
6300 1.48187 14.528
6310 1.47858 14.5281
6320 1.46768 14.5282
6330 1.46308 14.5282
6340 1.46055 14.5281
6350 1.46179 14.5281
6360 1.46073 14.5281
6370 1.47046 14.5281
6380 1.47312 14.528
6390 1.47504 14.528
6400 1.47935 14.528
6410 1.49061 14.528
6420 1.50168 14.528
6430 1.5151 14.528
6440 1.51011 14.528
6450 1.51049 14.5281
6460 1.49792 14.5282
6470 1.49321 14.5282
6480 1.49498 14.5282
6490 1.50287 14.5283
6500 1.4952 14.5283
6510 1.49631 14.5283
6520 1.49662 14.5282
