# Time-averaged data for fix myfix
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
10000 100
1 0.01 2.43629 0.00040404
2 0.03 1.39216 0.0020202
3 0.05 0.769354 0.00444444
4 0.07 0.395074 0.00686869
5 0.09 0.878661 0.0157576
6 0.11 0.642538 0.0254545
7 0.13 0.959169 0.0456566
8 0.15 0.807291 0.0682828
9 0.17 0.808354 0.0973737
10 0.19 0.80011 0.133333
11 0.21 0.986292 0.187475
12 0.23 0.951196 0.250101
13 0.25 0.8727 0.31798
14 0.27 0.810612 0.391515
15 0.29 0.96911 0.492929
16 0.31 0.88193 0.598384
17 0.33 0.954238 0.727677
18 0.35 0.970274 0.875556
19 0.37 0.951268 1.03758
20 0.39 0.873306 1.20283
21 0.41 0.888733 1.38869
22 0.43 0.86245 1.58707
23 0.45 0.874113 1.80727
24 0.47 0.858656 2.04323
25 0.49 0.910395 2.31515
26 0.51 0.866624 2.59556
27 0.53 0.863744 2.89737
28 0.55 0.882604 3.22949
29 0.57 0.867747 3.5802
30 0.59 0.94615 3.9899
31 0.61 0.926156 4.41859
32 0.63 0.931306 4.87838
33 0.65 0.8941 5.34828
34 0.67 0.897961 5.8497
35 0.69 0.918981 6.39394
36 0.71 0.980057 7.00848
37 0.73 0.950866 7.63879
38 0.75 0.903142 8.27071
39 0.77 0.991608 9.00202
40 0.79 0.975869 9.7596
41 0.81 0.996101 10.5725
42 0.83 0.975553 11.4085
43 0.85 0.977842 12.2873
44 0.87 1.00035 13.2291
45 0.89 0.96615 14.181
46 0.91 0.95553 15.1653
47 0.93 1.00877 16.2505
48 0.95 0.979338 17.3499
49 0.97 0.975275 18.4913
50 0.99 0.979023 19.6848
51 1.01 0.992538 20.9442
52 1.03 1.02295 22.2941
53 1.05 0.998793 23.6638
54 1.07 0.995284 25.0812
55 1.09 0.990263 26.5446
56 1.11 0.966764 28.0263
57 1.13 0.991865 29.6016
58 1.15 1.00679 31.2578
59 1.17 1.00233 32.9644
60 1.19 1.00906 34.7418
61 1.21 0.990401 36.5455
62 1.23 0.981858 38.3931
63 1.25 1.00661 40.3495
64 1.27 1.01343 42.3826
65 1.29 1.03397 44.5228
66 1.31 1.00094 46.6594
67 1.33 1.0223 48.9087
68 1.35 1.01505 51.2097
69 1.37 0.997395 53.5382
70 1.39 0.986217 55.9083
71 1.41 1.02706 58.4481
72 1.43 0.984873 60.9531
73 1.45 1.01815 63.6158
74 1.47 0.999349 66.3018
75 1.49 1.00533 69.078
76 1.51 0.987565 71.8788
77 1.53 0.995497 74.7774
78 1.55 1.0246 77.8392
79 1.57 1.0204 80.9677
80 1.59 0.995151 84.097
81 1.61 0.992386 87.2966
82 1.63 1.01745 90.659
83 1.65 1.00893 94.0756
84 1.67 0.999348 97.5422
85 1.69 1.00609 101.116
86 1.71 1.00935 104.787
87 1.73 1.00731 108.537
88 1.75 0.982089 112.278
89 1.77 1.00751 116.204
90 1.79 0.982383 120.12
91 1.81 1.00353 124.209
92 1.83 0.992479 128.343
93 1.85 1.00141 132.606
94 1.87 1.00816 136.991
95 1.89 1.00131 141.44
96 1.91 0.997542 145.966
97 1.93 1.00253 150.611
98 1.95 1.01137 155.395
99 1.97 0.990603 160.177
100 1.99 0.985638 165.032
