# Time-averaged data for fix myfix
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
10000 100
1 0.01 0 0
2 0.03 0.348041 0.00040404
3 0.05 0.641129 0.00242424
4 0.07 0.921839 0.00808081
5 0.09 0.758844 0.0157576
6 0.11 0.7764 0.0274747
7 0.13 0.805702 0.0444444
8 0.15 0.807291 0.0670707
9 0.17 0.673628 0.0913131
10 0.19 0.91698 0.132525
11 0.21 0.824364 0.177778
12 0.23 0.846871 0.233535
13 0.25 0.924647 0.305455
14 0.27 0.89969 0.387071
15 0.29 0.926639 0.48404
16 0.31 0.834623 0.583838
17 0.33 0.873724 0.702222
18 0.35 0.880139 0.836364
19 0.37 0.920428 0.993131
20 0.39 0.864765 1.15677
21 0.41 0.861685 1.33697
22 0.43 0.869476 1.53697
23 0.45 0.896567 1.76283
24 0.47 0.923349 2.01657
25 0.49 0.899574 2.28525
26 0.51 0.906584 2.57859
27 0.53 0.94584 2.90909
28 0.55 0.913742 3.25293
29 0.57 0.908735 3.6202
30 0.59 0.938685 4.02667
31 0.61 0.96631 4.47394
32 0.63 0.950128 4.94303
33 0.65 0.992505 5.46465
34 0.67 0.913156 5.97455
35 0.69 0.896467 6.50545
36 0.71 0.931731 7.0897
37 0.73 0.976466 7.73697
38 0.75 0.932015 8.38909
39 0.77 0.964216 9.1002
40 0.79 0.95453 9.84121
41 0.81 0.984714 10.6448
42 0.83 0.94019 11.4505
43 0.85 0.997624 12.3471
44 0.87 0.93984 13.2319
45 0.89 0.972301 14.1899
46 0.91 0.957492 15.1762
47 0.93 0.974966 16.2251
48 0.95 0.996255 17.3434
49 0.97 0.988394 18.5002
50 0.99 0.983663 19.6994
51 1.01 0.991902 20.958
52 1.03 1.00734 22.2873
53 1.05 1.02266 23.6897
54 1.07 0.966628 25.0663
55 1.09 0.991904 26.5321
56 1.11 0.99761 28.061
57 1.13 0.998225 29.6465
58 1.15 0.989842 31.2747
59 1.17 1.01206 32.998
60 1.19 1.00746 34.7725
61 1.21 1.0046 36.602
62 1.23 0.997962 38.48
63 1.25 1.01119 40.4453
64 1.27 1.01927 42.4901
65 1.29 1.01972 44.6008
66 1.31 1.00132 46.7382
67 1.33 1.01275 48.9665
68 1.35 1.02521 51.2905
69 1.37 1.01003 53.6485
70 1.39 1.00118 56.0545
71 1.41 1.00435 58.5382
72 1.43 1.00505 61.0945
73 1.45 1.01289 63.7434
74 1.47 0.989879 66.404
75 1.49 1.01572 69.2089
76 1.51 1.00666 72.0638
77 1.53 1.00979 75.004
78 1.55 1.00634 78.0113
79 1.57 1.00222 81.084
80 1.59 1.0256 84.3091
81 1.61 1.00579 87.5519
82 1.63 0.995813 90.8428
83 1.65 0.998188 94.223
84 1.67 1.02031 97.7624
85 1.69 1.00927 101.348
86 1.71 0.982581 104.922
87 1.73 0.998741 108.64
88 1.75 1.02409 112.541
89 1.77 1.00689 116.464
90 1.79 0.984816 120.389
91 1.81 1.02772 124.577
92 1.83 0.990927 128.705
93 1.85 0.997807 132.952
94 1.87 0.988561 137.252
95 1.89 0.991484 141.657
96 1.91 0.989706 146.148
97 1.93 1.00654 150.812
98 1.95 0.999238 155.538
99 1.97 0.989013 160.312
100 1.99 1.00541 165.264
